,mst_id,det_id,date,dtv,values,weekday,day_type,yeartime
54984,4014,4014013,2019-07-31,24448,"[0.0033949607329842933, 0.0014725130890052356, 0.0011043848167539268, 0.0011861910994764397, 0.004008507853403141, 0.034849476439790576, 0.07517997382198953, 0.07710242146596859, 0.06740837696335078, 0.06147742146596859, 0.059718586387434554, 0.05947316753926701, 0.0634407722513089, 0.06139561518324607, 0.061027486910994765, 0.06384980366492146, 0.06360438481675393, 0.06421793193717278, 0.05571007853403141, 0.04069862565445026, 0.029654777486910994, 0.023273887434554975, 0.017056609947643978, 0.0096940445026178]",2,5.0,2.0
54985,4014,4014013,2019-07-30,23274,"[0.003222480020623872, 0.001331958408524534, 0.0008163616052247142, 0.0007733952049497294, 0.003523244822548767, 0.03836899544556157, 0.08056200051559681, 0.08215175732577125, 0.07407407407407407, 0.06363323880725273, 0.05907880037810432, 0.05534072355418063, 0.0522901091346567, 0.059121766778379305, 0.06243017959955315, 0.0634184068058778, 0.06625418922402682, 0.06479333161467732, 0.053020537939331445, 0.037853398642261754, 0.027154764973790498, 0.023072956947666923, 0.017444358511643894, 0.010268969665721406]",1,5.0,2.0
54986,4014,4014013,2019-07-29,22769,"[0.0030743554833326013, 0.0013615002854758663, 0.001185822829285432, 0.0014493390135710835, 0.004743291317141728, 0.04102068602046642, 0.07865958100926698, 0.0767271289911722, 0.07022706311212613, 0.07211559576617331, 0.060301286837366595, 0.06166278712284246, 0.057841802450700516, 0.058676270367605074, 0.057534366902367254, 0.06469322324212745, 0.06153102903069964, 0.06403443278141333, 0.05582151170451052, 0.037770653080943385, 0.02714216698142211, 0.01958803636523343, 0.015020422504282137, 0.007817646800474328]",0,5.0,2.0
54987,4014,4014013,2019-07-28,14470,"[0.016862474084312372, 0.009882515549412578, 0.005114029025570145, 0.003178991015894955, 0.003662750518313753, 0.00663441603317208, 0.0073946095369730475, 0.011264685556323428, 0.021008984105044922, 0.04084312370421562, 0.06406357982031789, 0.07249481686247408, 0.08182446440912232, 0.08783690393918452, 0.09004837595024189, 0.07802349689011749, 0.07449896337249481, 0.06793365583966827, 0.07636489288182446, 0.059571527297857634, 0.047131997235659986, 0.03676572218382861, 0.023635107118175534, 0.013959917069799585]",6,2.0,2.0
54988,4014,4014013,2019-07-27,17353,"[0.010891488503428802, 0.006742350025932115, 0.003342361551316775, 0.0024203307785397336, 0.004783034633780902, 0.012044026969400103, 0.0219558577767533, 0.02593211548435429, 0.04016596553909987, 0.06315910793522733, 0.075260761827926, 0.075260761827926, 0.08315565031982942, 0.08113870800437964, 0.07917939261222844, 0.07226416181640062, 0.07727770414337579, 0.0656946925603642, 0.05128796173572293, 0.03797614245375439, 0.0328473462801821, 0.026681265487235636, 0.02547110009796577, 0.025067711634875815]",5,2.0,2.0
54989,4014,4014013,2019-07-26,24860,"[0.003821399839098954, 0.002011263073209976, 0.0009654062751407884, 0.001086082059533387, 0.004907481898632341, 0.03390989541432019, 0.06842316975060338, 0.0753016894609815, 0.06757843925985518, 0.0584070796460177, 0.059613837489943686, 0.06536604987932422, 0.06802091713596138, 0.0584473049074819, 0.06528559935639582, 0.05909090909090909, 0.06057924376508447, 0.055591311343523735, 0.0500402252614642, 0.04062751407884151, 0.0331456154465004, 0.026910699919549478, 0.023652453740949316, 0.017216411906677394]",4,1.0,2.0
54990,4014,4014013,2019-07-25,24020,"[0.0036636136552872607, 0.001498751040799334, 0.000749375520399667, 0.0014571190674437969, 0.004246461282264779, 0.039383846794338054, 0.07323064113238968, 0.0776436303080766, 0.06994171523730225, 0.05358034970857618, 0.056577851790174855, 0.06078268109908409, 0.058742714404662784, 0.05940882597835137, 0.06290591174021648, 0.06465445462114905, 0.06103247293921732, 0.06128226477935054, 0.048917568692756035, 0.040174854288093254, 0.03513738551207327, 0.027435470441298918, 0.02260616153205662, 0.014945878434637802]",3,1.0,2.0
54991,4014,4014013,2019-07-24,23843,"[0.003103636287379944, 0.001174348865495114, 0.000587174432747557, 0.0008388206182107956, 0.004068279998322359, 0.04022144864320765, 0.0800234869773099, 0.07884913811181479, 0.07503250429895567, 0.06278572327307805, 0.04177326678689762, 0.05204881935997987, 0.058969089460218935, 0.06085643585119322, 0.06429560038585748, 0.0626179591494359, 0.05926267667659271, 0.05959820492387703, 0.054271693998238474, 0.04114415132323952, 0.03401417606844776, 0.025961498133624125, 0.02495491339177117, 0.01354695298410435]",2,1.0,2.0
54992,4014,4014013,2019-07-23,22420,"[0.0024977698483496878, 0.001471900089206066, 0.0005798394290811776, 0.0009366636931311329, 0.004594112399643175, 0.04201605709188225, 0.08568242640499554, 0.08572702943800178, 0.06650312221231043, 0.06422836752899197, 0.04803746654772525, 0.056601248884924175, 0.06253345227475468, 0.060437109723461196, 0.06360392506690454, 0.05860838537020517, 0.05254237288135593, 0.058920606601248884, 0.05472792149866191, 0.04246208742194469, 0.03037466547725245, 0.025156110615521855, 0.020428189116859948, 0.011329170383586084]",1,1.0,2.0
54993,4014,4014013,2019-07-22,20847,"[0.0033577972849810523, 0.001151244783422075, 0.000719527989638797, 0.0011992133160646616, 0.004509042068403127, 0.02998033290161654, 0.04787259557730129, 0.04763275291408836, 0.05559552933275771, 0.08092291456804336, 0.06667626037319518, 0.0659087638509138, 0.06514126732863242, 0.06403799107785293, 0.06883484434211158, 0.06792344222190243, 0.06653235477526742, 0.07286420108408884, 0.0620233127068643, 0.04379527030268144, 0.03132345181560896, 0.024655825778289443, 0.01626133256583681, 0.011080731040437473]",0,1.0,2.0
54994,4014,4014013,2019-07-21,15711,"[0.01884030297243969, 0.011011393291324549, 0.005410222137355993, 0.004519126726497359, 0.0035643816434345363, 0.00585576984278531, 0.00757431099229839, 0.008147158042136083, 0.01845840493921456, 0.03303417987397365, 0.05435682006237668, 0.06918719368595251, 0.07599770861180065, 0.08242632550442365, 0.08471771370377443, 0.07918019222201006, 0.07485201451212527, 0.07816179746674305, 0.07854369549996817, 0.06504996499268029, 0.05454776907898924, 0.04525491693717777, 0.02749665839220928, 0.013811978868308828]",6,2.0,2.0
54995,4014,4014013,2019-07-20,19461,"[0.0112532757823339, 0.00611479368994399, 0.0035455526437490367, 0.0030830892554339446, 0.0033913981809773393, 0.00894095884075844, 0.017779148039669082, 0.023123169415754586, 0.04275217100868404, 0.06346025384101536, 0.07049997430758954, 0.07234982786084991, 0.06885566003802476, 0.07183597965161091, 0.07060274394943733, 0.06777657879862288, 0.06582395560351473, 0.06407687169210215, 0.06525872257335183, 0.05241251734237706, 0.049432197728790914, 0.041159241560043164, 0.0337598273470017, 0.022712090848363394]",5,2.0,2.0
54996,4014,4014013,2019-07-19,25045,"[0.004471950489119585, 0.0011179876222798962, 0.0014374126572170094, 0.0012777001397484527, 0.004312237971651028, 0.03685366340586944, 0.06592134158514673, 0.07542423637452586, 0.07107207027350769, 0.05709722499500899, 0.055340387302854864, 0.06001197843881014, 0.06556198842084249, 0.06675983230185666, 0.06847674186464364, 0.05993212218007586, 0.058374925134757435, 0.055260531044120584, 0.056418446795767616, 0.04136554202435616, 0.031104012777001398, 0.02778997803952885, 0.019444999001796765, 0.015172689159512876]",4,1.0,2.0
